Brand,Perfume Name,Gender,Scent Profile,Occasion,Main 3 Notes,Personality / Mood
Versace,Couture Violet,Women,"Floral, Powdery","Daytime, Spring","Violet, Musk, Woodsy Notes","Soft, Romantic"
Versace,Essence Emotional,Women,"Floral, Fruity","Daytime, Casual","Peach, Jasmine, Musk","Joyful, Light-hearted"
Versace,Essence Ethereal,Women,"Floral, Fresh","Daytime, Elegant","Lily, Musk, Woodsy Notes","Delicate, Graceful"
Versace,Essence Exciting,Women,"Floral, Spicy","Evening, Bold","Pepper, Jasmine, Musk","Energetic, Vibrant"
Versace,Eros,Men,"Aromatic, Woody","Evening, Romantic","Mint, Green Apple, Tonka Bean","Bold, Passionate"
Versace,Eros Flame,Men,"Woody, Spicy","Evening, Intense","Chinotto, Pepper, Tonka Bean","Fiery, Confident"
Versace,Eros Eau de Parfum,Men,"Aromatic, Woody","Evening, Elegant","Mint, Vanilla, Cedar","Sophisticated, Seductive"
Versace,Eros Parfum,Men,"Aromatic, Woody","Evening, Luxurious","Mint, Vanilla, Leather","Rich, Intense"
Versace,Dylan Blue Pour Homme,Men,"Woody, Aromatic","Daytime, Modern","Bergamot, Incense, Musk","Confident, Contemporary"
Versace,Man Eau Fraiche,Men,"Woody, Aquatic","Daytime, Summer","Lemon, Cedar, Musk","Fresh, Casual"
Burberry,Her Eau de Parfum,Women,"Fruity, Floral","Daytime, Casual","Red Berries, Jasmine, Musk","Energetic, Modern"
Burberry,Her Intense,Women,"Fruity, Gourmand","Evening, Bold","Blackberry, Jasmine, Benzoin","Deep, Sensual"
Burberry,Her Blossom,Women,"Floral, Fresh","Spring, Daytime","Plum Blossom, Peony, Musk","Light, Delicate"
Burberry,Her London Dream,Women,"Floral, Citrus","Daytime, Romantic","Lemon, Rose, Musk","Dreamy, Romantic"
Burberry,Her Elixir de Parfum,Women,"Fruity, Sweet","Evening, Glamorous","Strawberry, Vanilla, Amber","Bold, Alluring"
Burberry,My Burberry,Women,"Floral, Fresh","Daytime, Elegant","Sweet Pea, Rose, Patchouli","Classic, Sophisticated"
Burberry,My Burberry Blush,Women,"Floral, Fruity","Daytime, Spring","Pomegranate, Rose, Jasmine","Playful, Feminine"
Burberry,My Burberry Black,Women,"Floral, Oriental","Evening, Intense","Jasmine, Peach, Amber","Sensual, Bold"
Burberry,Burberry Goddess,Women,"Floral, Woody","Evening, Elegant","Lavender, Vanilla, Sandalwood","Divine, Empowering"
Burberry,Burberry Touch,Women,"Floral, Powdery","Daytime, Soft","Rose, Peony, Cedar","Gentle, Intimate"
Burberry,Burberry Brit for Her,Women,"Floral, Fruity","Daytime, Casual","Lime, Almond, Vanilla","Sweet, Charming"
Burberry,Burberry Brit for Her EDT,Women,"Floral, Fruity","Daytime, Light","Lime, Almond, Pear","Fresh, Youthful"
Burberry,Burberry London,Women,"Floral, Fresh","Daytime, Elegant","Rose, Jasmine, Musk","Classic, Refined"
Burberry,Burberry Weekend,Women,"Floral, Citrus","Weekend, Casual","Mandarin, Hyacinth, Musk","Relaxed, Joyful"
Burberry,Burberry For Women,Women,"Fruity, Woody","Daytime, Warm","Peach, Apricot, Cedar","Cozy, Feminine"
Burberry,Burberry Signatures Amber Heath,Unisex,"Amber, Woody","Evening, Luxurious","Amber, Labdanum, Patchouli","Warm, Sophisticated"
Burberry,Burberry Signatures Garden Roses,Unisex,"Floral, Fresh","Daytime, Romantic","Rose, Geranium, Musk","Elegant, Romantic"
Burberry,Burberry Signatures Windsor Tonic,Unisex,"Citrus, Aromatic","Daytime, Refreshing","Bergamot, Neroli, Vetiver","Crisp, Invigorating"
Burberry,Burberry Signatures High Tea,Unisex,"Floral, Green","Afternoon, Elegant","Tea, Rose, Musk","Refined, Delicate"
Burberry,Burberry Signatures Hawthorn Bloom,Unisex,"Floral, Woody","Spring, Daytime","Hawthorn, Violet, Cedar","Soft, Natural"
Burberry,Burberry Signatures Midnight Journey,Unisex,"Aromatic, Spicy","Evening, Mysterious","Incense, Pepper, Amber","Deep, Enigmatic"
Burberry,Burberry Signatures Tudor Rose,Unisex,"Floral, Chypre","Evening, Romantic","Rose, Patchouli, Musk","Regal, Passionate"
Burberry,Burberry Signatures Antique Oak,Unisex,"Woody, Earthy","Autumn, Outdoors","Oakwood, Vetiver, Musk","Rustic, Grounded"
Burberry,Burberry Signatures Wild Thistle,Unisex,"Floral, Green","Spring, Daytime","Thistle, Green Notes, Musk","Unique, Fresh"
Calvin Klein,CK One,Unisex,"Citrus, Fresh","Daytime, Casual","Pineapple, Green Tea, Musk","Clean, Youthful, Inclusive"
Calvin Klein,CK Be,Unisex,"Floral, Woody, Musk","Daytime, Casual","Lavender, Bergamot, Musk","Intimate, Relaxed, Subtle"
Calvin Klein,Euphoria,Women,"Oriental, Floral","Evening, Romantic","Pomegranate, Orchid, Mahogany","Sensual, Mysterious, Bold"
Calvin Klein,Eternity,Men,"Aromatic, Fresh","Daytime, Formal","Lavender, Lemon, Sandalwood","Timeless, Elegant, Refined"
Calvin Klein,CK Everyone,Unisex,"Citrus, Green","Daytime, Active","Orange, Ginger, Cedarwood","Fresh, Eco-conscious, Modern"
Calvin Klein,CK IN2U for Her,Women,"Floral, Citrus","Daytime, Casual","Grapefruit, Orchid, Vanilla","Vibrant, Youthful, Spontaneous"
Calvin Klein,CK IN2U for Him,Men,"Aromatic, Woody","Daytime, Casual","Lemon, Cacao, Cedar","Energetic, Modern, Casual"
Calvin Klein,Obsessed for Women,Women,"Aromatic, Oriental","Evening, Intimate","Lavender, Musk, Vanilla","Nostalgic, Romantic, Bold"
Calvin Klein,CK One Essence,Unisex,"Citrus, Woody","Daytime, Versatile","Bergamot, Green Tea, Musk","Fresh, Sophisticated, Balanced"
Calvin Klein,CK One Gold,Unisex,"Citrus, Woody","Daytime, Casual","Fig, Neroli, Vetiver","Radiant, Youthful, Bold"
Calvin Klein,Eternity for Women,Women,"Floral, Fresh","Daytime, Formal","Freesia, Lily, Sandalwood","Romantic, Timeless, Elegant"
Calvin Klein,Obsession for Men,Men,"Oriental, Spicy","Evening, Intense","Cinnamon, Amber, Musk","Passionate, Bold, Classic"
Calvin Klein,Escape for Women,Women,"Floral, Aquatic","Daytime, Casual","Apple, Peach, Sandalwood","Free-spirited, Light, Refreshing"
Calvin Klein,Truth for Women,Women,"Green, Woody","Daytime, Subtle","Bamboo, Vetiver, Musk","Natural, Serene, Authentic"
Calvin Klein,Contradiction for Men,Men,"Woody, Spicy","Evening, Modern","Lime, Nutmeg, Sandalwood","Confident, Sophisticated, Urban"
Calvin Klein,CK Free for Men,Men,"Woody, Aromatic","Daytime, Casual","Juniper, Tobacco, Oak","Adventurous, Relaxed, Masculine"
Calvin Klein,CK All,Unisex,"Citrus, Aquatic","Daytime, Casual","Bergamot, Rhubarb, Amber","Inclusive, Fresh, Contemporary"
Calvin Klein,Reveal for Women,Women,"Woody, Solar","Evening, Warm","Salt, Iris, Sandalwood","Sensual, Radiant, Bold"
Calvin Klein,Reveal for Men,Men,"Woody, Aromatic","Evening, Warm","Ginger, Agave, Vetiver","Mysterious, Bold, Sophisticated"
Calvin Klein,Eternity Aqua for Men,Men,"Aquatic, Woody","Daytime, Fresh","Cucumber, Lavender, Musk","Refreshing, Casual, Modern"
Calvin Klein,Eternity Now for Women,Women,"Floral, Fruity","Daytime, Romantic","Lychee, Peony, Cashmere","Feminine, Romantic, Contemporary"
Calvin Klein,Eternity Now for Men,Men,"Oriental, Fougere","Evening, Romantic","Ginger, Coconut, Tonka Bean","Warm, Inviting, Modern"
Calvin Klein,CK One Shock for Her,Women,"Oriental, Spicy","Evening, Bold","Passion Flower, Chocolate, Musk","Daring, Exotic, Intense"
Calvin Klein,CK One Shock for Him,Men,"Oriental, Spicy","Evening, Bold","Tobacco, Amber, Patchouli","Bold, Edgy, Masculine"
Calvin Klein,Endless Euphoria,Women,"Floral, Fruity","Daytime, Light","Cherry Blossom, Bamboo, Musk","Light-hearted, Joyful, Feminine"
Calvin Klein,Downtown,Women,"Floral, Woody","Daytime, Urban","Pear, Gardenia, Cedarwood","Confident, Modern, Chic"
Calvin Klein,Beauty,Women,"Floral, Musky","Evening, Elegant","Lily, Jasmine, Ambrette","Graceful, Sophisticated, Mature"
Calvin Klein,Sheer Beauty,Women,"Floral, Fruity","Daytime, Fresh","Peach Bellini, Pink Lily, Musk","Feminine, Delicate, Radiant"
Calvin Klein,CK2,Unisex,"Woody, Fresh","Daytime, Youthful","Wasabi, Violet Leaf, Vetiver","Energetic, Urban, Minimalist"
Calvin Klein,Eternity Flame for Men,Men,"Oriental, Fougere","Evening, Warm","Pineapple, Rosemary, Labdanum","Passionate, Bold, Intimate"
Gucci,Gucci Guilty Eau de Toilette (2021),Women,"Floral, Fruity, Musky","Daytime, Casual","Pink Pepper, Lilac, Peach","Bold, Romantic, Modern"
Gucci,Gucci Guilty Pour Homme Eau de Toilette,Men,"Citrus, Woody, Aromatic","Daytime, Casual","Lemon, Lavender, Orange Blossom","Confident, Masculine, Fresh"
Gucci,Gucci Guilty Absolute Pour Femme,Women,Chypre Fruity,"Evening, Formal","Blackberry, Goldenwood, Patchouli","Sensual, Bold, Mysterious"
Gucci,Gucci Guilty Absolute Pour Homme,Men,"Woody, Leather","Evening, Formal","Leather, Patchouli, Cypress","Intense, Rugged, Sophisticated"
Gucci,Gucci Guilty Black Pour Femme,Women,Oriental Floral,Night Out,"Red Fruits, Pink Pepper, Raspberry","Daring, Seductive, Energetic"
Gucci,Gucci Guilty Black Pour Homme,Men,Aromatic Fougere,Night Out,"Lavender, Orange Flower, Patchouli","Bold, Charismatic, Edgy"
Gucci,Gucci Bloom Eau de Parfum,Women,White Floral,"Daytime, Formal","Jasmine, Tuberose, Rangoon Creeper","Elegant, Feminine, Natural"
Gucci,Gucci Bloom Nettare di Fiori,Women,"Floral, Sweet","Evening, Romantic","Rose, Ginger, Osmanthus","Deep, Sensual, Intimate"
Gucci,Gucci Bloom Ambrosia di Fiori,Women,"Floral, Powdery","Evening, Formal","Jasmine, Tuberose, Damask Rose","Rich, Luxurious, Sophisticated"
Gucci,Gucci Bloom Profumo di Fiori,Women,"Floral, Woody","Daytime, Casual","Tuberose, Jasmine, Sandalwood","Radiant, Warm, Joyful"
Gucci,Gucci Flora Gorgeous Gardenia,Women,"Floral, Fruity","Daytime, Casual","Gardenia, Red Berries, Patchouli","Playful, Youthful, Romantic"
Gucci,Gucci Flora Gorgeous Jasmine,Women,"Floral, Green","Daytime, Fresh","Jasmine, Magnolia, Sandalwood","Bright, Fresh, Uplifting"
Gucci,Gucci Flora by Gucci Eau de Parfum,Women,"Floral, Citrus","Daytime, Elegant","Peony, Citrus, Rose","Sophisticated, Feminine, Graceful"
Gucci,Gucci Rush,Women,"Oriental, Spicy",Night Out,"Gardenia, Vanilla, Patchouli","Bold, Addictive, Energetic"
Gucci,Gucci Envy,Women,Green Floral,"Daytime, Fresh","Hyacinth, Lily of the Valley, Jasmine","Crisp, Clean, Vibrant"
Gucci,Gucci Envy Me,Women,"Floral, Fruity","Daytime, Casual","Peony, Pink Pepper, Pomegranate","Flirty, Fun, Youthful"
Gucci,Gucci Premiere,Women,"Woody, Musky","Evening, Formal","Bergamot, Orange Blossom, Musk","Glamorous, Elegant, Sophisticated"
Gucci,Gucci by Gucci Eau de Parfum,Women,"Chypre, Fruity","Evening, Formal","Guava, Pear, Tiare Flower","Modern, Confident, Luxurious"
Gucci,Gucci by Gucci Pour Homme,Men,"Woody, Chypre","Evening, Formal","Cypress, Violet, Tobacco","Classic, Masculine, Refined"
Gucci,Gucci Pour Homme II,Men,"Woody, Spicy","Daytime, Casual","Bergamot, Violet Leaf, Black Tea","Sophisticated, Relaxed, Modern"
Gucci,Gucci Guilty Intense Pour Homme,Men,"Woody, Aromatic","Evening, Formal","Lavender, Lemon, Patchouli","Strong, Confident, Intense"
Gucci,Gucci Guilty Love Edition Pour Homme,Men,"Aromatic, Fougere","Daytime, Romantic","Kumquat, Lavender, Patchouli","Romantic, Fresh, Energetic"
Gucci,Gucci Guilty Love Edition Pour Femme,Women,"Floral, Fruity","Daytime, Romantic","Narcissus, Violet, Musk","Feminine, Joyful, Playful"
Gucci,Gucci Guilty Eau de Parfum (2020),Women,"Floral, Amber","Evening, Elegant","Mandora, Pink Pepper, Patchouli","Warm, Sensual, Sophisticated"
Gucci,Gucci Guilty Eau de Parfum Pour Homme,Men,"Woody, Aromatic","Evening, Elegant","Rose, Chili Pepper, Cedarwood","Bold, Spicy, Masculine"
Gucci,Gucci Oud,Unisex,"Oriental, Woody","Evening, Exotic","Pear, Bulgarian Rose, Oud","Rich, Mysterious, Opulent"
Gucci,Gucci M moire d une Odeur,Unisex,"Aromatic, Floral","Daytime, Casual","Chamomile, Jasmine, Sandalwood","Nostalgic, Unique, Calming"
Gucci,Gucci Guilty Elixir Pour Femme,Women,"Floral, Sweet","Evening, Intimate","Wisteria, Vanilla, Rose","Sensual, Elegant, Intimate"
Gucci,Gucci Guilty Elixir Pour Homme,Men,"Woody, Aromatic","Evening, Intimate","Nutmeg, Lavender, Patchouli","Warm, Spicy, Sophisticated"
Gucci,Gucci Eau de Parfum II,Women,"Fruity, Floral","Daytime, Elegant","Black Currant, Mandarin, Violet","Fresh, Feminine, Delicate"
Chanel,Chanel N 5 Eau de Parfum,Women,"Floral, Aldehydic","Evening, Formal","Aldehydes, Jasmine, Rose","Timeless, Elegant, Sophisticated"
Chanel,Chanel Coco Mademoiselle Eau de Parfum,Women,"Oriental, Fresh","Daytime, Versatile","Orange, Patchouli, Rose","Modern, Confident, Feminine"
Chanel,Chanel Coco Mademoiselle Eau de Parfum Intense,Women,"Oriental, Woody","Evening, Romantic","Orange, Tonka Bean, Patchouli","Sensual, Bold, Sophisticated"
Chanel,Chanel Chance Eau Tendre Eau de Parfum,Women,"Floral, Fruity","Daytime, Casual","Grapefruit, Jasmine, White Musk","Fresh, Youthful, Delicate"
Chanel,Chanel Chance Eau de Toilette,Women,"Floral, Spicy","Daytime, Elegant","Pink Pepper, Jasmine, Patchouli","Vibrant, Energetic, Playful"
Chanel,Chanel Allure Homme Eau de Toilette,Men,"Woody, Spicy","Daytime, Casual","Bergamot, Cedar, Tonka Bean","Sophisticated, Confident, Charismatic"
Chanel,Chanel Bleu de Chanel Eau de Parfum,Men,"Woody, Aromatic","Evening, Formal","Grapefruit, Incense, Sandalwood","Elegant, Modern, Mysterious"
Chanel,Chanel Coco Eau de Parfum,Women,"Oriental, Spicy","Evening, Formal","Mandarin, Jasmine, Patchouli","Bold, Luxurious, Sensual"
Chanel,Chanel Coco Noir Eau de Parfum,Women,"Oriental, Floral","Evening, Elegant","Grapefruit, Rose, Tonka Bean","Mysterious, Sophisticated, Intense"
Chanel,Chanel Gabrielle Eau de Parfum,Women,Floral,"Daytime, Romantic","Jasmine, Ylang-Ylang, Orange Blossom","Radiant, Feminine, Free-Spirited"
Chanel,Chanel No. 19 Eau de Parfum,Women,"Green, Floral","Daytime, Formal","Galbanum, Iris, Vetiver","Assertive, Elegant, Unique"
Chanel,Chanel No. 5 L Eau,Women,"Floral, Fresh","Daytime, Modern","Citrus, Jasmine, Cedar","Light, Contemporary, Youthful"
Chanel,Chanel Allure Eau de Parfum,Women,"Oriental, Floral","Evening, Elegant","Vanilla, Mandarin, Jasmine","Warm, Sophisticated, Alluring"
Chanel,Chanel Chance Eau Fra che,Women,"Floral, Citrus","Daytime, Fresh","Lemon, Cedar, Water Hyacinth","Energetic, Refreshing, Playful"
Chanel,Chanel Chance Eau Vive,Women,"Floral, Citrus","Daytime, Sporty","Grapefruit, Blood Orange, Jasmine","Vibrant, Dynamic, Youthful"
Chanel,Chanel Allure Homme Sport,Men,"Woody, Spicy","Daytime, Active","Orange, Pepper, Tonka Bean","Energetic, Masculine, Fresh"
Chanel,Chanel Allure Homme  dition Blanche,Men,"Oriental, Fresh","Evening, Elegant","Lemon, Sandalwood, Vanilla","Sophisticated, Warm, Inviting"
Chanel,Chanel Ego ste Eau de Toilette,Men,"Woody, Spicy","Evening, Bold","Rosewood, Cinnamon, Vanilla","Intense, Mysterious, Masculine"
Chanel,Chanel Pour Monsieur,Men,"Citrus, Chypre","Daytime, Classic","Lemon, Neroli, Oakmoss","Refined, Timeless, Elegant"
Chanel,Chanel Antaeus Eau de Toilette,Men,"Woody, Chypre","Evening, Powerful","Clary Sage, Patchouli, Leather","Strong, Masculine, Bold"
Chanel,Chanel Cristalle Eau de Toilette,Women,"Citrus, Green","Daytime, Fresh","Lemon, Hyacinth, Oakmoss","Crisp, Clean, Elegant"
Chanel,Chanel Cristalle Eau Verte,Women,"Citrus, Floral","Daytime, Light","Neroli, Magnolia, Jasmine","Delicate, Refreshing, Feminine"
Chanel,Chanel No. 22 Eau de Parfum,Women,"Floral, Aldehydic","Evening, Classic","Aldehydes, Tuberose, Incense","Romantic, Vintage, Elegant"
Chanel,Chanel 31 Rue Cambon,Unisex,"Chypre, Floral","Evening, Sophisticated","Bergamot, Patchouli, Iris","Luxurious, Complex, Timeless"
Chanel,Chanel Coromandel Eau de Parfum,Unisex,"Oriental, Woody","Evening, Exotic","Patchouli, Frankincense, Benzoin","Opulent, Warm, Mysterious"
Chanel,Chanel Sycomore Eau de Parfum,Unisex,"Woody, Smoky","Evening, Elegant","Vetiver, Sandalwood, Cypress","Earthy, Sophisticated, Bold"
Chanel,Chanel Beige Eau de Parfum,Women,"Floral, Honeyed","Daytime, Elegant","Hawthorn, Freesia, Honey","Soft, Feminine, Graceful"
Chanel,Chanel Misia Eau de Parfum,Women,"Floral, Powdery","Evening, Romantic","Violet, Rose, Orris","Vintage, Elegant, Artistic"
Chanel,Chanel Boy Eau de Parfum,Unisex,"Aromatic, Floral","Daytime, Modern","Lavender, Geranium, Sandalwood","Androgynous, Fresh, Contemporary"
Chanel,Chanel 1957 Eau de Parfum,Unisex,"Musky, Floral","Daytime, Subtle","White Musk, Iris, Neroli","Soft, Elegant, Understated"
Tom Ford,Tobacco Vanille EDP,Unisex,"Oriental, Spicy","Evening, Formal","Tobacco Leaf, Vanilla, Spices","Warm, Opulent, Sophisticated"
Tom Ford,Lost Cherry EDP,Unisex,"Fruity, Gourmand","Evening, Romantic","Black Cherry, Almond, Tonka Bean","Playful, Seductive, Unique"
Tom Ford,Electric Cherry EDP,Unisex,"Fruity, Floral","Daytime, Casual","Cherry, Ginger, Jasmine Sambac","Vibrant, Energetic, Modern"
Tom Ford,Ombre Leather EDP,Unisex,"Leather, Spicy","Evening, Casual","Black Leather, Cardamom, Patchouli","Bold, Intense, Rugged"
Tom Ford,Bois Pacifique EDP,Unisex,"Woody, Spicy","Daytime, Casual","Sandalwood, Cedar, Oakwood","Calming, Earthy, Sophisticated"
Tom Ford,Black Orchid EDP,Unisex,"Floral, Oriental","Evening, Formal","Black Truffle, Orchid, Patchouli","Luxurious, Mysterious, Sensual"
Tom Ford,Oud Wood EDP,Unisex,"Woody, Oriental","Evening, Formal","Oud, Sandalwood, Vanilla","Exotic, Sophisticated, Warm"
Tom Ford,Neroli Portofino EDP,Unisex,"Citrus, Fresh","Daytime, Summer","Neroli, Bergamot, Orange Blossom","Fresh, Clean, Uplifting"
Tom Ford,Soleil Blanc EDP,Unisex,"Floral, Coconut","Daytime, Beach","Coconut, Ylang-Ylang, Amber","Tropical, Warm, Luxurious"
Tom Ford,Vanille Fatale EDP,Unisex,"Oriental, Spicy","Evening, Formal","Vanilla, Mahogany, Roasted Barley","Deep, Seductive, Intense"
Tom Ford,Bitter Peach EDP,Unisex,"Fruity, Sweet","Evening, Romantic","Peach, Blood Orange, Patchouli","Bold, Sensual, Addictive"
Tom Ford,Rose Prick EDP,Unisex,"Floral, Spicy","Daytime, Romantic","Rose de Mai, Turkish Rose, Sichuan Pepper","Romantic, Bold, Unique"
Tom Ford,Jasmin Rouge EDP,Unisex,"Floral, Spicy","Evening, Elegant","Jasmine, Clary Sage, Spices","Sensual, Sophisticated, Warm"
Tom Ford,Velvet Orchid EDP,Unisex,"Floral, Oriental","Evening, Formal","Honey, Rum, Orchid","Opulent, Feminine, Mysterious"
Tom Ford,Noir Extreme EDP,Men,"Oriental, Woody","Evening, Formal","Cardamom, Nutmeg, Amber","Rich, Warm, Sophisticated"
Tom Ford,Grey Vetiver EDP,Men,"Woody, Citrus","Daytime, Office","Vetiver, Orange Blossom, Sage","Clean, Elegant, Masculine"
Tom Ford,Beau de Jour EDP,Men,"Aromatic, Fougere","Daytime, Classic","Lavender, Rosemary, Oakmoss","Classic, Refined, Fresh"
Tom Ford,Costa Azzurra EDP,Unisex,"Woody, Aquatic","Daytime, Summer","Driftwood, Seaweed, Lemon","Breezy, Fresh, Relaxed"
Tom Ford,Soleil Neige EDP,Unisex,"Floral, Musk","Daytime, Winter","Bergamot, Jasmine, Musk","Cool, Crisp, Elegant"
Tom Ford,Caf  Rose EDP,Unisex,"Floral, Spicy","Evening, Romantic","Rose, Coffee, Incense","Dark, Romantic, Intense"
Tom Ford,Plum Japonais EDP,Unisex,"Fruity, Spicy","Evening, Exotic","Plum, Cinnamon, Oud","Exotic, Rich, Warm"
Tom Ford,Mandarino di Amalfi EDP,Unisex,"Citrus, Fresh","Daytime, Summer","Mandarin, Basil, Mint","Fresh, Vibrant, Uplifting"
Tom Ford,Fleur de Portofino EDP,Unisex,"Floral, Citrus","Daytime, Spring","White Acacia, Jasmine, Lemon","Light, Floral, Elegant"
Tom Ford,Vert d Encens EDP,Unisex,"Green, Woody","Evening, Formal","Pine Resin, Incense, Heliotrope","Earthy, Mystical, Sophisticated"
Tom Ford,Vert de Fleur EDP,Unisex,"Green, Floral","Daytime, Spring","Galbanum, Hyacinth, Iris","Fresh, Elegant, Vintage"
Tom Ford,Vert Boh me EDP,Unisex,"Green, Floral","Daytime, Casual","Mandarin, Magnolia, Honeysuckle","Bright, Feminine, Fresh"
Tom Ford,Oud Fleur EDP,Unisex,"Woody, Floral","Evening, Formal","Rose, Oud, Patchouli","Luxurious, Deep, Romantic"
Tom Ford,Myrrhe Myst re EDP,Unisex,"Oriental, Resinous","Evening, Spiritual","Myrrh, Sandalwood, Amber","Mystical, Warm, Enigmatic"
Tom Ford,Tub reuse Nue EDP,Unisex,"Floral, Musk","Evening, Romantic","Tuberose, Jasmine, Musk","Sensual, Soft, Intimate"
Prada,Prada Candy Eau de Parfum,Women,"Gourmand, Sweet","Evening, Casual","Caramel, Musk, Vanilla","Playful, Flirty, Youthful"
Prada,Prada Candy Night Eau de Parfum,Women,"Gourmand, Oriental","Evening, Formal","Chocolate, Vanilla, Tonka Bean","Seductive, Mysterious, Bold"
Prada,Prada Candy Kiss Eau de Parfum,Women,"Floral, Musky","Daytime, Romantic","Orange Blossom, Musk, Vanilla","Soft, Feminine, Elegant"
Prada,Prada Candy Gloss Eau de Parfum,Women,"Fruity, Sweet","Daytime, Casual","Cherry, Peach, Musk","Fun, Vibrant, Youthful"
Prada,Prada Candy L'Eau Eau de Toilette,Women,"Floral, Fresh","Daytime, Office","Citrus, Sweet Pea, Caramel","Light, Refreshing, Subtle"
Prada,Prada Candy Florale Eau de Toilette,Women,"Floral, Sweet","Daytime, Spring","Peony, Caramel, Honey","Romantic, Fresh, Delicate"
Prada,Prada Paradoxe Eau de Parfum,Women,"Floral, Amber","Daytime, Evening","Neroli, Jasmine, Amber","Modern, Sophisticated, Versatile"
Prada,Prada Paradoxe Intense Eau de Parfum,Women,"Floral, Amber","Evening, Formal","Neroli, Jasmine, Amber","Intense, Elegant, Confident"
Prada,Prada La Femme Eau de Parfum,Women,"Floral, Oriental","Daytime, Formal","Frangipani, Ylang-Ylang, Vanilla","Classic, Feminine, Graceful"
Prada,Prada La Femme Intense Eau de Parfum,Women,"Floral, Oriental","Evening, Formal","Tuberose, Ylang-Ylang, Patchouli","Deep, Sensual, Luxurious"
Prada,Prada La Femme L'Eau Eau de Toilette,Women,"Floral, Fresh","Daytime, Casual","Frangipani, Mandarin, Tuberose","Light, Breezy, Elegant"
Prada,Prada Infusion d'Iris Eau de Parfum,Unisex,"Floral, Woody","Daytime, Office","Iris, Cedar, Vetiver","Clean, Powdery, Sophisticated"
Prada,Prada Infusion de Rose Eau de Parfum,Unisex,"Floral, Fresh","Daytime, Romantic","Rose, Neroli, Mandarin","Soft, Romantic, Modern"
Prada,Prada Infusion de Mandarine Eau de Parfum,Unisex,"Citrus, Fresh","Daytime, Summer","Mandarin, Orange Blossom, Neroli","Bright, Uplifting, Energetic"
Prada,Prada Infusion de Vanille Eau de Parfum,Unisex,"Oriental, Woody","Evening, Casual","Vanilla, Smoke, Bergamot","Warm, Smoky, Unisex"
Prada,Prada Infusion de Gingembre Eau de Parfum,Unisex,"Spicy, Fresh","Daytime, Spring","Ginger, Citrus, Neroli","Zesty, Invigorating, Crisp"
Prada,Prada Infusion de Figue Eau de Parfum,Unisex,"Fruity, Woody","Daytime, Autumn","Fig, Green Notes, Wood","Earthy, Sweet, Natural"
Prada,Prada Infusion de V tiver Eau de Parfum,Unisex,"Woody, Fresh","Daytime, Office","Vetiver, Citrus, Neroli","Clean, Masculine, Elegant"
Prada,Prada Amber Eau de Parfum,Women,"Oriental, Woody","Evening, Formal","Amber, Patchouli, Vanilla","Rich, Classic, Warm"
Prada,Prada Amber Pour Homme Eau de Toilette,Men,"Oriental, Woody","Evening, Formal","Amber, Myrrh, Saffron","Sophisticated, Masculine, Deep"
Prada,Prada Amber Pour Homme Intense Eau de Parfum,Men,"Oriental, Spicy","Evening, Formal","Amber, Patchouli, Vanilla","Intense, Bold, Luxurious"
Prada,Prada L'Homme Eau de Toilette,Men,"Woody, Floral","Daytime, Office","Iris, Amber, Neroli","Elegant, Modern, Clean"
Prada,Prada L'Homme Intense Eau de Parfum,Men,"Woody, Oriental","Evening, Formal","Iris, Amber, Leather","Deep, Sensual, Sophisticated"
Prada,Prada Luna Rossa Eau de Toilette,Men,"Citrus, Aromatic","Daytime, Sport","Lavender, Bitter Orange, Mint","Fresh, Energetic, Dynamic"
Prada,Prada Luna Rossa Carbon Eau de Toilette,Men,"Aromatic, Fougere","Daytime, Casual","Lavender, Patchouli, Ambroxan","Modern, Masculine, Clean"
Prada,Prada Luna Rossa Black Eau de Parfum,Men,"Amber, Woody","Evening, Formal","Patchouli, Amber, Musk","Bold, Mysterious, Urban"
Prada,Prada Luna Rossa Ocean Eau de Parfum,Men,"Fresh, Aquatic","Daytime, Summer","Bergamot, Iris, Vetiver","Refreshing, Marine, Adventurous"
