Brand,Perfume Name,Gender,Scent Profile,Occasion,Main 3 Notes,Personality / Mood
Prada,Prada Luna Rossa Ocean Le Parfum,Men,"Woody, Aquatic","Evening, Formal","Bergamot, Iris, Vetiver","Deep, Sophisticated, Marine"
Prada,Prada Olfactories Heat Wave Eau de Parfum,Unisex,"Floral, Exotic","Evening, Summer","Tropical Flowers, Spices","Exotic, Warm, Luxurious"
Prada,Prada Olfactories Purple Rain Eau de Parfum,Unisex,"Floral, Woody","Evening, Formal","Iris, Vetiver, Musk","Artistic, Elegant, Unique"
Amouage,Interlude Man,Men,"Woody, Oriental","Evening, Formal","Oregano, Amber, Incense","Bold, Mysterious, Intense"
Amouage,Interlude Woman,Women,"Floral, Oriental","Evening, Formal","Bergamot, Incense, Amber","Dramatic, Complex, Rich"
Amouage,Reflection Man,Men,"Floral, Woody","Daytime, Office","Neroli, Jasmine, Sandalwood","Elegant, Clean, Sophisticated"
Amouage,Reflection Woman,Women,"Floral, Fresh","Daytime, Romantic","Water Violet, Freesia, Sandalwood","Feminine, Graceful, Soft"
Amouage,Honour Man,Men,"Woody, Spicy","Evening, Formal","Pink Pepper, Geranium, Musk","Noble, Refined, Classic"
Amouage,Honour Woman,Women,"Floral, White Floral","Daytime, Formal","Tuberose, Jasmine, Amber","Pure, Emotional, Elegant"
Amouage,Jubilation XXV,Men,"Oriental, Fruity","Evening, Formal","Blackberry, Frankincense, Myrrh","Regal, Opulent, Timeless"
Amouage,Jubilation 25,Women,"Floral, Oriental","Evening, Formal","Ylang-Ylang, Rose, Amber","Luxurious, Sophisticated, Warm"
Amouage,Epic Man,Men,"Woody, Spicy","Evening, Formal","Pink Pepper, Saffron, Oud","Mysterious, Exotic, Bold"
Amouage,Epic Woman,Women,"Oriental, Spicy","Evening, Formal","Cumin, Rose, Oud","Intense, Sensual, Powerful"
Amouage,Memoir Man,Men,"Woody, Aromatic","Evening, Casual","Absinthe, Leather, Sandalwood","Dark, Enigmatic, Masculine"
Amouage,Memoir Woman,Women,"Chypre, Floral","Evening, Formal","Wormwood, Jasmine, Oakmoss","Mysterious, Complex, Deep"
Amouage,Dia Man,Men,"Woody, Floral","Daytime, Office","Cistus, Cardamom, Vetiver","Elegant, Subtle, Refined"
Amouage,Dia Woman,Women,"Floral, Aldehydic","Daytime, Formal","Fig, Peony, Musk","Graceful, Sophisticated, Soft"
Amouage,Gold Man,Men,"Oriental, Floral","Evening, Formal","Rose, Lily of the Valley, Frankincense","Classic, Luxurious, Rich"
Amouage,Gold Woman,Women,"Floral, Aldehydic","Evening, Formal","Rose, Lily of the Valley, Myrrh","Opulent, Timeless, Elegant"
Amouage,Fate Man,Men,"Oriental, Spicy","Evening, Formal","Saffron, Licorice, Labdanum","Mysterious, Bold, Complex"
Amouage,Fate Woman,Women,"Oriental, Floral","Evening, Formal","Bergamot, Cinnamon, Incense","Enigmatic, Rich, Warm"
Amouage,Lyric Man,Men,"Oriental, Spicy","Evening, Romantic","Rose, Angelica, Sandalwood","Romantic, Deep, Sensual"
Amouage,Lyric Woman,Women,"Floral, Oriental","Evening, Romantic","Rose, Cardamom, Incense","Passionate, Mysterious, Elegant"
Amouage,Beloved Man,Men,"Woody, Spicy","Evening, Formal","Grapefruit, Elemi, Vetiver","Sophisticated, Warm, Masculine"
Amouage,Beloved Woman,Women,"Floral, Woody","Evening, Formal","Jasmine, Clove, Sandalwood","Elegant, Rich, Complex"
Amouage,Journey Man,Men,"Spicy, Woody","Evening, Casual","Sichuan Pepper, Tobacco, Leather","Adventurous, Bold, Warm"
Amouage,Journey Woman,Women,"Floral, Fruity","Evening, Casual","Apricot, Jasmine Tea, Osmanthus","Playful, Exotic, Feminine"
Amouage,Sunshine Man,Men,"Aromatic, Spicy","Daytime, Summer","Lavender, Orange Brandy, Tonka Bean","Bright, Warm, Inviting"
Amouage,Sunshine Woman,Women,"Floral, Fruity","Daytime, Summer","Almond, Blackcurrant, Vanilla","Joyful, Radiant, Feminine"
Amouage,Beach Hut Man,Men,"Woody, Aromatic","Daytime, Summer","Mint, Orange Blossom, Vetiver","Fresh, Breezy, Relaxed"
Amouage,Beach Hut Woman,Women,"Floral, Green","Daytime, Summer","Bergamot, Driftwood, Ylang-Ylang","Refreshing, Natural, Light"
Amouage,Imitation Man,Men,"Chypre, Leather","Evening, Retro","Citron, Turkish Rose, Leather","Vintage, Bold, Artistic"
Amouage,Imitation Woman,Women,"Floral, Aldehydic","Evening, Retro","Rose, Ylang-Ylang, Incense","Glamorous, Nostalgic, Elegant"
Bvlgari,Bvlgari Omnia Crystalline,Women,"Floral, Aquatic","Daytime, Casual","Bamboo, Lotus, Musk","Pure, Fresh, Elegant"
Bvlgari,Bvlgari Omnia Amethyste,Women,"Floral, Powdery","Daytime, Romantic","Iris, Rose, Heliotrope","Feminine, Soft, Romantic"
Bvlgari,Bvlgari Omnia Coral,Women,"Fruity, Floral","Daytime, Spring","Bergamot, Hibiscus, Pomegranate","Cheerful, Playful, Vibrant"
Bvlgari,Bvlgari Omnia Pink Sapphire,Women,"Citrus, Floral","Daytime, Summer","Pink Pomelo, Frangipani, Musk","Energetic, Fun, Youthful"
Bvlgari,Bvlgari Omnia Indian Garnet,Women,"Oriental, Floral","Daytime, Exotic","Mandarin, Osmanthus, Amber","Bold, Radiant, Warm"
Bvlgari,Bvlgari Omnia Golden Citrine,Women,"Floral, Musky","Daytime, Elegant","Ylang-Ylang, Jasmine, Benzoin","Sophisticated, Radiant"
Bvlgari,Bvlgari Omnia Paraiba,Women,"Tropical, Fruity","Daytime, Vacation","Passionfruit, Gardenia, Vetiver","Fun, Bright, Tropical"
Bvlgari,Bvlgari Rose Goldea,Women,"Floral, Musky","Romantic, Daytime","Rose, Musk, Pomegranate","Graceful, Sensual, Soft"
Bvlgari,Bvlgari Rose Goldea Blossom Delight,Women,"Floral, Fresh","Daytime, Spring","Lily of the Valley, Rose, Musk","Modern, Delicate, Optimistic"
Bvlgari,Bvlgari Goldea,Women,"Musky, Oriental","Evening, Elegant","Musk, Orange Blossom, Patchouli","Luxurious, Warm, Feminine"
Bvlgari,Bvlgari Splendida Rose Rose,Women,"Floral, Rose","Romantic, Evening","Damask Rose, Blackberry, Musk","Elegant, Romantic, Classic"
Bvlgari,Bvlgari Splendida Iris d'Or,Women,"Powdery, Floral","Daytime, Soft","Iris, Mimosa, Tonka Bean","Clean, Sophisticated, Feminine"
Bvlgari,Bvlgari Splendida Magnolia Sensuel,Women,"Floral, Sweet","Evening, Formal","Magnolia, Orange Blossom, Musk","Bold, Feminine, Mysterious"
Bvlgari,Bvlgari Le Gemme Reali Nylaia,Women,"Floral, Musky","Evening, Elegant","Jasmine, Musk, Ambergris","Luxurious, Royal, Sensual"
Bvlgari,Bvlgari Le Gemme Ashlemah,Unisex,"Powdery, Floral","Daytime, Calm","Violet, Lavender, Musk","Spiritual, Clean, Soft"
Bvlgari,Bvlgari Aqua Pour Homme,Men,"Aquatic, Fresh","Daytime, Casual","Mandarin, Seaweed, Amber","Fresh, Masculine, Marine"
Bvlgari,Bvlgari Aqua Marine,Men,"Aquatic, Citrus","Daytime, Summer","Neroli, Grapefruit, Rosemary","Sporty, Breezy, Clean"
Bvlgari,Bvlgari Aqua Amara,Men,"Woody, Citrus","Daytime, Casual","Sicilian Mandarin, Neroli, Incense","Intense, Earthy, Masculine"
Bvlgari,Bvlgari Man in Black,Men,"Spicy, Oriental","Evening, Formal","Rum, Leather, Tonka Bean","Bold, Sensual, Charismatic"
Bvlgari,Bvlgari Man Wood Essence,Men,"Woody, Green","Daytime, Natural","Citrus Zest, Vetiver, Cedar","Earthy, Grounded, Refined"
Bvlgari,Bvlgari Man Wood Neroli,Men,"Citrus, Woody","Daytime, Bright","Neroli, Bergamot, Ambergris","Energetic, Elegant, Crisp"
Bvlgari,Bvlgari Man Glacial Essence,Men,"Fresh, Woody","Daytime, Cold","Juniper, Ginger, Cedarwood","Cool, Crisp, Refreshing"
Bvlgari,Bvlgari Man Terrae Essence,Men,"Earthy, Woody","Autumn, Formal","Vetiver, Citruses, Mineral Notes","Warm, Rugged, Sophisticated"
Bvlgari,Bvlgari Man Black Orient,Men,"Oriental, Spicy","Evening, Intimate","Cardamom, Oud, Leather","Exotic, Bold, Deep"
Bvlgari,Bvlgari Man Extreme,Men,"Citrus, Woody","Daytime, Formal","Pink Grapefruit, Cactus, Amber","Masculine, Crisp, Assertive"
Bvlgari,Bvlgari BLV Pour Homme,Men,"Spicy, Woody","Daytime, Unique","Ginger, Tobacco Flower, Teak Wood","Cool, Edgy, Sophisticated"
Bvlgari,Bvlgari BLV Notte Pour Homme,Men,"Spicy, Oriental","Evening, Intimate","Dark Chocolate, Tobacco, Lavender","Mysterious, Sexy, Warm"
Bvlgari,Bvlgari Pour Homme,Men,"Fresh, Woody","Office, Daytime","Darjeeling Tea, Amber, Musk","Clean, Professional, Classic"
Bvlgari,Bvlgari Pour Homme Soir,Men,"Woody, Musk","Evening, Refined","Papyrus, Amber, Darjeeling Tea","Elegant, Mature, Subtle"
Bvlgari,Bvlgari Tygar (Le Gemme),Men,"Citrus, Woody","Luxurious, Day","Grapefruit, Ambrox, Woods","Bold, Sophisticated, Fiery"
Armani,Acqua di Gi  Profondo,Men,"Aquatic, Aromatic","Daytime, Summer","Bergamot, Rosemary, Patchouli","Fresh, Deep, Marine"
Armani,Acqua di Gi  Eau de Toilette,Men,"Aquatic, Citrus","Casual, Daily","Lime, Jasmine, Oakmoss","Clean, Light, Classic"
Armani,Acqua di Gi  Parfum,Men,"Woody, Aquatic","Office, Daytime","Incense, Bergamot, Sea Notes","Elegant, Modern, Masculine"
Armani,Armani Code Eau de Parfum,Men,"Spicy, Woody","Evening, Date","Tonka Bean, Leather, Amber","Seductive, Warm, Sophisticated"
Armani,Armani Code Profumo,Men,"Oriental, Spicy",Night Out,"Cardamom, Amber, Leather","Intense, Bold, Luxurious"
Armani,Armani Code Colonia,Men,"Fresh, Aromatic","Business, Casual","Bergamot, Clary Sage, Tonka Bean","Clean, Smooth, Soft"
Armani,Stronger With You,Men,"Sweet, Spicy","Evening, Romantic","Chestnut, Cardamom, Vanilla","Romantic, Youthful, Warm"
Armani,Stronger With You Intensely,Men,"Warm, Woody",Cold Weather,"Toffee, Cinnamon, Tonka Bean","Bold, Addictive, Comforting"
Armani,Stronger With You Absolutely,Men,"Amber, Rum",Night Events,"Rum, Vanilla, Chestnut","Rich, Sensual, Deep"
Armani,Emporio Armani He,Men,"Woody, Spicy",Anytime,"Yuzu, Sage, Cardamom","Energetic, Masculine, Fresh"
Armani,Acqua di Gi  Absolu,Men,"Aquatic, Woody","Summer, Daytime","Marine Notes, Patchouli, Amberwood","Sensual, Confident, Cool"
Armani,Acqua di Gi  Essenza,Men,"Fresh, Aromatic","Daytime, Elegant","Bergamot, Jasmine, Ambergris","Refined, Classic, Bright"
Armani,Acqua di Gi  Profumo,Men,"Aquatic, Incense","Evening, Formal","Incense, Patchouli, Sea Notes","Bold, Dark, Sophisticated"
Armani,Armani Eau Pour Homme,Men,"Citrus, Aromatic","Daytime, Classic","Lemon, Basil, Oakmoss","Clean, Fresh, Timeless"
Armani,Armani Mania,Men,"Woody, Musky","Evening, Cozy","Mandarin, Saffron, Cedarwood","Warm, Smooth, Modern"
Armani,S  Eau de Parfum,Women,"Fruity, Chypre","Evening, Formal","Blackcurrant, Rose, Vanilla","Elegant, Feminine, Bold"
Armani,S  Passione,Women,"Floral, Fruity","Romantic, Date","Rose, Pear, Pink Pepper","Passionate, Confident, Sweet"
Armani,S  Intense,Women,"Chypre, Sweet","Evening, Formal","Blackcurrant, Rose, Patchouli","Deep, Sophisticated, Sensual"
Armani,My Way,Women,"Floral, Fresh","Everyday, Uplifting","Orange Blossom, Tuberose, Vanilla","Bright, Modern, Feminine"
Armani,My Way Intense,Women,"Floral, Woody","Formal, Date","Orange Blossom, Sandalwood, Vanilla","Intense, Elegant, Radiant"
Armani,My Way Floral,Women,"Citrus, Floral","Daytime, Spring","Green Mandarin, Neroli, Tuberose","Fresh, Joyful, Gentle"
Armani,Acqua di Gioia,Women,"Aquatic, Floral","Summer, Daytime","Mint, Lemon, Jasmine","Refreshing, Nature-loving"
Armani,Air di Gioia,Women,"Fresh, Floral","Casual, Outdoor","Salt, Neroli, Peony","Free-spirited, Breezy"
Armani,Sun di Gioia,Women,"Warm, Sweet","Summer, Beach","Frangipani, Vanilla, Amber","Sunny, Warm, Feminine"
Armani,Light di Gioia,Women,"Citrus, Woody","Daytime, Elegant","Bergamot, Jasmine, Musk","Soft, Fresh, Radiant"
Armani,Emporio Armani She,Women,"Powdery, Floral","Daily, Romantic","Pear, Heliotrope, Almond","Soft, Sweet, Cozy"
Armani,Emporio Armani Because It s You,Women,"Fruity, Sweet",Date Night,"Raspberry, Rose, Vanilla","Joyful, Playful, Romantic"
Armani,Armani Priv  Vert Malachite,Unisex,"Green, Floral","Artistic, Luxe","Lily, Jasmine, Amber","Unique, Rich, Creative"
Armani,Armani Priv  Rouge Malachite,Women,"Floral, Creamy",Opulent Events,"Tuberose, Pink Pepper, Amber","Bold, Artistic, Sensual"
Armani,Armani Priv  Bleu Lazuli,Unisex,"Spicy, Woody","Spiritual, Exotic","Cardamom, Mate, Incense","Mysterious, Deep, Warm"
Dolce & Gabbana,The One Eau de Parfum,Women,"Warm, Oriental","Evening, Date","Bergamot, Vanilla, Amber","Sensual, Elegant, Confident"
Dolce & Gabbana,The One Eau de Toilette,Men,"Spicy, Woody","Evening, Formal","Grapefruit, Coriander, Tobacco","Classic, Sophisticated"
Dolce & Gabbana,Light Blue Eau de Toilette,Women,"Fresh, Citrus","Daytime, Summer","Sicilian Lemon, Apple, Cedar","Fresh, Playful, Casual"
Dolce & Gabbana,Light Blue Sun Pour Homme,Men,"Fresh, Aquatic","Daytime, Summer","Grapefruit, Bergamot, Rosemary","Energetic, Cool, Refreshing"
Dolce & Gabbana,Devotion Eau de Parfum Intense,Women,"Floral, Woody","Evening, Formal","Orange Blossom, Vanilla, Musk","Intense, Romantic, Deep"
Dolce & Gabbana,Dolce Peony Eau de Parfum,Women,"Floral, Powdery","Daytime, Spring","Peony, Iris, Musk","Soft, Feminine, Cheerful"
Dolce & Gabbana,The One for Men Eau de Parfum,Men,"Oriental, Spicy",Night Out,"Ginger, Cardamom, Tobacco","Bold, Masculine, Warm"
Dolce & Gabbana,Light Blue Sun Eau de Parfum,Women,"Floral, Aquatic","Summer, Casual","Jasmine, Coconut, Vanilla","Bright, Sunny, Relaxed"
Dolce & Gabbana,K by Dolce & Gabbana Eau de Parfum,Men,"Woody, Aromatic","Daytime, Office","Basil, Grapefruit, Cedarwood","Fresh, Confident, Energetic"
Dolce & Gabbana,K by Dolce & Gabbana Intense,Men,"Spicy, Woody","Evening, Cold","Cinnamon, Clary Sage, Cedar","Warm, Inviting, Strong"
Dolce & Gabbana,Pour Femme Eau de Parfum,Women,"Floral, Fruity",Daily Wear,"Neroli, Jasmine, Vanilla","Elegant, Feminine, Fresh"
Dolce & Gabbana,Dolce Garden,Women,"Floral, Green","Daytime, Spring","Neroli, Jasmine, Orange Blossom","Delicate, Fresh, Natural"
Dolce & Gabbana,Dolce Rosa Excelsa Eau de Parfum,Women,"Floral, Rose","Evening, Special","Rose, Orange Blossom, Amber","Romantic, Sophisticated"
Dolce & Gabbana,Velvet Desert Oud,Unisex,"Woody, Oud","Evening, Formal","Agarwood, Rose, Amber","Exotic, Mysterious, Luxurious"
Dolce & Gabbana,Light Blue Forever,Women,"Citrus, Aquatic","Summer, Daytime","Lemon, Apple, Jasmine","Fresh, Youthful, Bright"
Dolce & Gabbana,The One Essence,Men,"Woody, Spicy","Evening, Formal","Ginger, Amber, Vanilla","Warm, Strong, Elegant"
Dolce & Gabbana,Anthology L Imperatrice,Women,"Fruity, Floral","Casual, Daytime","Watermelon, Jasmine, Musk","Fun, Vibrant, Lighthearted"
Dolce & Gabbana,Dolce Garden Delight,Women,"Floral, Green","Spring, Daytime","Neroli, Jasmine, Orange Blossom","Fresh, Delicate, Joyful"
Dolce & Gabbana,Light Blue Italian Zest,Men,"Citrus, Aromatic","Daytime, Summer","Lemon, Ginger, Juniper","Bright, Invigorating, Casual"
Dolce & Gabbana,The One Royal Night,Men,"Woody, Spicy","Evening, Night","Cardamom, Tobacco, Cedarwood","Intense, Bold, Sophisticated"
Dolce & Gabbana,K by Dolce & Gabbana Eau de Toilette,Men,"Aromatic, Woody","Daytime, Casual","Basil, Grapefruit, Cedarwood","Fresh, Clean, Energetic"
Dolce & Gabbana,Pour Homme Intense,Men,"Woody, Oriental","Evening, Cold","Tonka Bean, Cedar, Amber","Warm, Seductive, Strong"
Dolce & Gabbana,Dolce Garden Paradise,Women,"Floral, Fresh","Daytime, Spring","Orange Blossom, Neroli, Musk","Bright, Cheerful, Light"
Dolce & Gabbana,Anthology L Imperatrice,Women,"Fruity, Floral","Daytime, Casual","Watermelon, Jasmine, Musk","Light, Playful, Energetic"
Dolce & Gabbana,The One Gold,Women,"Warm, Floral","Evening, Formal","Orange Blossom, Vanilla, Amber","Luxurious, Elegant, Radiant"
Dolce & Gabbana,Velvet Desert Oud,Unisex,"Oud, Woody","Evening, Formal","Agarwood, Rose, Amber","Exotic, Rich, Mysterious"
Dolce & Gabbana,Light Blue Eau Intense,Women,"Aquatic, Fresh","Daytime, Summer","Granny Smith Apple, Jasmine, Cedarwood","Fresh, Clean, Relaxing"
Dolce & Gabbana,The One Eau de Parfum,Women,"Oriental, Floral","Evening, Formal","Bergamot, Vanilla, Amber","Elegant, Warm, Feminine"
Dolce & Gabbana,K by Dolce & Gabbana Intense,Men,"Spicy, Woody","Evening, Date","Cinnamon, Clary Sage, Cedar","Warm, Seductive, Bold"
Dolce & Gabbana,Light Blue Pour Homme,Men,"Fresh, Citrus","Daytime, Casual","Grapefruit, Rosemary, Pepper","Bright, Energetic, Clean"
Givenchy,L Interdit Eau de Parfum,Women,"Floral, Woody","Evening, Date","Orange Blossom, Jasmine, Vetiver","Bold, Elegant, Mysterious"
Givenchy,Gentlemen Givenchy,Men,"Woody, Aromatic","Office, Daytime","Lavender, Black Pepper, Patchouli","Classic, Confident, Fresh"
Givenchy,Givenchy Pour Homme,Men,"Woody, Spicy","Daily, Casual","Bergamot, Vetiver, Patchouli","Clean, Masculine, Timeless"
Givenchy,L Interdit Eau de Toilette,Women,"Floral, Fresh","Daytime, Casual","Orange Blossom, Tuberose, Vetiver","Bright, Feminine, Youthful"
Givenchy,Gentlemen Only Absolute,Men,"Spicy, Oriental","Evening, Formal","Cinnamon, Vanilla, Leather","Warm, Seductive, Sophisticated"
Givenchy,Givenchy Dahlia Divin,Women,"Floral, Woody","Formal, Evening","Plum, Jasmine, Sandalwood","Luxurious, Feminine, Radiant"
Givenchy,Gentleman Givenchy Cologne,Men,"Fresh, Citrus","Summer, Daytime","Grapefruit, Ginger, Vetiver","Refreshing, Clean, Energetic"
Givenchy,L Interdit Intense,Women,"Floral, Oriental","Night, Special","Tuberose, Jasmine, Vanilla","Deep, Intense, Sensual"
Givenchy,Gentlemen Only,Men,"Woody, Spicy","Casual, Work","Green Pepper, Patchouli, Vetiver","Confident, Stylish, Modern"
Givenchy,Givenchy Ange ou D mon,Women,"Oriental, Floral","Evening, Formal","Lily, Saffron, Sandalwood","Mysterious, Sensual, Strong"
Givenchy,Play Intense Pour Homme,Men,"Spicy, Woody","Night, Date","Cardamom, Pepper, Tonka Bean","Bold, Energetic, Seductive"
Givenchy,L Interdit Eau de Parfum Intense,Women,"Floral, Woody","Evening, Formal","Orange Blossom, Jasmine, Patchouli","Strong, Elegant, Feminine"
Givenchy,Gentlemen Only Casual Chic,Men,"Woody, Aromatic","Daytime, Casual","Bergamot, Black Pepper, Cedar","Fresh, Stylish, Youthful"
Givenchy,Dahlia Divin Le Nectar de Parfum,Women,"Floral, Fruity","Formal, Evening","Blackberry, Jasmine, Patchouli","Elegant, Feminine, Radiant"
Givenchy,Givenchy Xeryus Rouge,Men,"Woody, Spicy","Night, Formal","Cinnamon, Patchouli, Amber","Bold, Exotic, Warm"
Givenchy,L Interdit by Givenchy,Women,"Floral, Woody","Evening, Date","Tuberose, Orange Blossom, Vetiver","Bold, Feminine, Modern"
Givenchy,Gentleman Givenchy Absolute,Men,"Woody, Aromatic","Evening, Special","Lavender, Vanilla, Amber","Smooth, Warm, Luxurious"
Givenchy,Givenchy Live Irr sistible,Women,"Floral, Fruity","Daytime, Casual","Pear, Rose, Jasmine","Fun, Playful, Bright"
Givenchy,Play Pour Homme,Men,"Woody, Spicy","Casual, Daytime","Ginger, Vetiver, Cedar","Energetic, Modern, Confident"
Givenchy,Dahlia Divin Eau Initiale,Women,"Floral, Fresh","Daytime, Office","Bergamot, Jasmine, Musk","Elegant, Clean, Feminine"
Givenchy,Gentleman Eau de Toilette,Men,"Aromatic, Woody","Daytime, Casual","Lemon, Vetiver, Patchouli","Clean, Fresh, Sophisticated"
Givenchy,Givenchy Irresistible,Women,"Floral, Woody","Casual, Daytime","Pear, Rose, Cedarwood","Joyful, Fresh, Feminine"
Givenchy,Play Intense Eau de Parfum,Men,"Spicy, Woody","Evening, Night","Cardamom, Pepper, Tonka Bean","Bold, Confident, Seductive"
Givenchy,L Interdit Eau de Toilette,Women,"Floral, Citrus","Daytime, Casual","Orange Blossom, Jasmine, Vetiver","Fresh, Youthful, Elegant"
Givenchy,Gentleman Givenchy Parfum,Men,"Woody, Aromatic","Evening, Formal","Lavender, Patchouli, Amber","Sophisticated, Strong, Warm"
Givenchy,Givenchy Dahlia Divin Noir,Women,"Oriental, Floral","Night, Formal","Black Rose, Patchouli, Plum","Mysterious, Bold, Feminine"
Givenchy,Play Pour Femme,Women,"Fruity, Floral","Daytime, Casual","Apple, Jasmine, Peony","Playful, Bright, Youthful"
Givenchy,Givenchy Xeryus,Men,"Woody, Spicy","Evening, Formal","Patchouli, Cinnamon, Amber","Strong, Exotic, Classic"
Givenchy,Gentlemen Only Absolute Intense,Men,"Spicy, Oriental","Evening, Night","Cinnamon, Vanilla, Tonka Bean","Deep, Seductive, Luxurious"
Givenchy,Live Irr sistible Rosy Crush,Women,"Floral, Fruity","Spring, Daytime","Rose, Lychee, Amber","Fresh, Youthful, Romantic"
Jean Paul Gaultier,Classique Eau de Parfum,Women,"Oriental, Floral","Evening, Formal","Rose, Ginger, Vanilla","Feminine, Elegant, Seductive"
Jean Paul Gaultier,Scandal Eau de Parfum,Women,"Sweet, Floral",Night Out,"Honey, Orange Blossom, Patchouli","Playful, Bold, Seductive"
Jean Paul Gaultier,Le Male Le Parfum,Men,"Woody, Spicy","Evening, Night","Cardamom, Lavender, Tonka Bean","Intense, Modern, Masculine"
Jean Paul Gaultier,Classique X Eau de Parfum,Women,"Floral, Oriental","Evening, Special","Rose, Ginger, Vanilla","Elegant, Bold, Alluring"
Jean Paul Gaultier,Le Beau Eau de Parfum,Men,"Woody, Aquatic","Daytime, Casual","Coconut, Bergamot, Tonka Bean","Fresh, Relaxed, Confident"
Jean Paul Gaultier,Scandal   Paris,Women,"Fruity, Floral","Daytime, Casual","Blood Orange, Gardenia, Patchouli","Fresh, Energetic, Feminine"
Jean Paul Gaultier,Le Male In The Navy Eau de Toilette,Men,"Aquatic, Aromatic","Summer, Daytime","Sea Notes, Lavender, Mint","Cool, Fresh, Adventurous"
Jean Paul Gaultier,Classique Essence de Parfum,Women,"Floral, Oriental","Evening, Formal","Rose, Orange Blossom, Vanilla","Sophisticated, Sensual"
Jean Paul Gaultier,Le Male Terrible,Men,"Woody, Spicy","Evening, Night","Ginger, Lavender, Vetiver","Strong, Bold, Intense"
Jean Paul Gaultier,Scandal By Night,Women,"Oriental, Floral",Night Out,"Honey, Patchouli, Jasmine","Seductive, Mysterious, Bold"
Jean Paul Gaultier,Le Male Summer,Men,"Fresh, Aromatic","Summer, Daytime","Bergamot, Lavender, Mint","Bright, Energetic, Casual"
Jean Paul Gaultier,Classique Eau Fraiche,Women,"Fresh, Floral","Daytime, Casual","Orange Blossom, Neroli, Jasmine","Light, Feminine, Fresh"
Jean Paul Gaultier,Le Male On Board,Men,"Aromatic, Woody","Daytime, Casual","Cardamom, Bergamot, Vanilla","Confident, Fresh, Relaxed"
Jean Paul Gaultier,Scandal Pour Homme,Men,"Woody, Spicy","Evening, Night","Patchouli, Tonka Bean, Amber","Bold, Warm, Masculine"
Jean Paul Gaultier,Classique Essence,Women,"Floral, Oriental","Evening, Formal","Rose, Vanilla, Amber","Elegant, Warm, Feminine"
Jean Paul Gaultier,Le Male Essence de Parfum,Men,"Woody, Oriental","Evening, Formal","Lavender, Tonka Bean, Vanilla","Sophisticated, Warm, Confident"
Jean Paul Gaultier,Scandal a Paris L Eau,Women,"Fruity, Floral","Daytime, Casual","Orange, Jasmine, Patchouli","Playful, Bright, Feminine"
Jean Paul Gaultier,Le Male Le Parfum Edition Noire,Men,"Woody, Spicy","Evening, Formal","Cardamom, Tonka Bean, Amber","Mysterious, Bold, Sophisticated"
Jean Paul Gaultier,Classique Eau Sensuelle,Women,"Oriental, Floral","Evening, Date","Rose, Jasmine, Vanilla","Sensual, Feminine, Romantic"
Jean Paul Gaultier,Le Male Essence,Men,"Aromatic, Spicy","Daytime, Casual","Lavender, Mint, Vanilla","Fresh, Confident, Modern"
Jean Paul Gaultier,Scandal Eau de Toilette,Women,"Sweet, Floral","Daytime, Casual","Honey, Orange Blossom, Patchouli","Bright, Playful, Seductive"
Jean Paul Gaultier,Le Male On Board Eau de Toilette,Men,"Aromatic, Woody","Daytime, Casual","Bergamot, Cardamom, Vanilla","Clean, Fresh, Confident"
Jean Paul Gaultier,Classique La Belle,Women,"Floral, Sweet","Evening, Special","Rose, Vanilla, Sandalwood","Feminine, Elegant, Alluring"
Jean Paul Gaultier,Le Male In The Navy Eau de Parfum,Men,"Aquatic, Aromatic","Summer, Daytime","Sea Notes, Lavender, Mint","Refreshing, Cool, Casual"
Jean Paul Gaultier,Scandal a Paris Eau de Parfum,Women,"Fruity, Floral","Daytime, Casual","Blood Orange, Gardenia, Patchouli","Bright, Fresh, Feminine"
Jean Paul Gaultier,Le Male Essence Intense,Men,"Woody, Oriental","Evening, Formal","Lavender, Tonka Bean, Vanilla","Warm, Confident, Elegant"
Jean Paul Gaultier,Classique Eau de Toilette,Women,"Floral, Oriental","Daytime, Casual","Rose, Ginger, Vanilla","Light, Feminine, Fresh"
Jean Paul Gaultier,Le Male Extreme,Men,"Woody, Spicy","Evening, Night","Cardamom, Tonka Bean, Amber","Intense, Bold, Masculine"
Jean Paul Gaultier,Scandal by Night Eau de Parfum,Women,"Oriental, Floral",Night Out,"Honey, Patchouli, Jasmine","Bold, Seductive, Elegan"
